date | value
2018-04-+4 | 1
2018-04--4 | 1
2000-02-29 | 0
2001-02-29 | 0
2000-02-29 | 5556789784968465468787879.648648468
2000-02-35 | 12
2000-02-29
1500-02-27 | 0
2050-04-29 | 1
2000-02-28 | +5
2000-15-29 | 0
2000-02--9 | 0
20-0-02-29 | 0
3050-01-01 | 7
2020-01-01 | 999.9999

2000-02-29 | 0
2018-02-15 | 8
2016-05-05 | 3
2014-08-11 | --0.5
2014-08-10 | 0.5
2014-08-08 | 0.5
2012-02-29 | 0.5
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
